row_key,team_id,athlete_id,player,short_name,jersey,position
athlete_5242263,2540,5242263,Bryce Bedgood,B. Bedgood,35,F
athlete_5242264,2540,5242264,Zachiah Clark,Z. Clark,44,G
athlete_5176464,2540,5176464,Jason Fontenet II,J. Fontenet II,10,G
athlete_5324104,2540,5324104,Kyle Haughy,K. Haughy,6,F
athlete_4685013,2540,4685013,Koat Keat Tong,K. Keat Tong,00,F
athlete_5107146,2540,5107146,Evans Kipruto,E. Kipruto,12,C
athlete_4593883,2540,4593883,Hosana Kitenge,H. Kitenge,34,F
athlete_5033017,2540,5033017,Miro Little,M. Little,1,G
athlete_4684628,2540,4684628,Aidan Mahaney,A. Mahaney,20,G
athlete_5241843,2540,5241843,Marvin McGhee IV,M. McGhee IV,4,G
athlete_5242262,2540,5242262,Zion Sensley,Z. Sensley,24,G
athlete_5215271,2540,5215271,CJ Shaw,C. Shaw,3,G
athlete_5108984,2540,5108984,Isaac Shingange,I. Shingange,18,G
athlete_5313074,2540,5313074,John Simcoe,J. Simcoe,21,F
athlete_5254322,2540,5254322,Michael Simcoe,M. Simcoe,23,F
athlete_4684812,2540,4684812,Colin Smith,C. Smith,7,F
athlete_5313073,2540,5313073,Luke Zuffelato,L. Zuffelato,2,G
